2.20905,
1.8628,
1.29029,
1.3337,
1.38724,
1.97702,
1.22949,
18.4124,
3.20514,
1.45083,
1.25905,
1.53412,
2.42608,
6.16507,
23.9536,
14.6911,
2.12898,
2.2394,
2.10741,
1.97434,
4.11058,
3.31697,
1.9878,
3.21449,
1.92283,
3.12476,
2.82014,
2.15323,
1.84757,
1.97107,
1.92957,
3.61109,
1.27615,
1.22812,
1.26009,
1.12134,
1.07634,
1.16446,
1.13148,
1.13817,
1.12474,
1.05915,
1.13492,
1.141,
1.09692,
1.33357,
2.55681,
3.18383,
1.72899,
1.08261,
1.24253,
1.15165,
1.23074,
1.12109,
1.22561,
2.45747,
1.14097,
1.14238,
1.1608,
1.17841,
1.22007,
1.24905,
1.18224,
1.26779,
