B40電流,ビーム電流,GL電流,コメント,時刻,mainGas設定値(cc/min),mainGasモニター(cc/min),supportGas設定,supportGasモニター,Iecrモニター(mA),Vecr設定値(KV),V_ecrモニター(KV),I_biasモニター(mA),V_bias設定値(V),V_biasモニター(V),ｺｲﾙ1電流設定値(A),ｺｲﾙ2電流設定値(A),ｺｲﾙ3電流設定値(A),ｺｲﾙ4電流設定値(A),ｺｲﾙ5電流設定値(A),ｺｲﾙ6電流設定値(A),ｺｲﾙ7電流設定値(A),ｺｲﾙ8電流設定値(A),ｺｲﾙ1電流モニター(A),ｺｲﾙ2電流モニター(A),ｺｲﾙ3電流モニター(A),ｺｲﾙ4電流モニター(A),ｺｲﾙ5電流モニター(A),ｺｲﾙ6電流モニター(A),ｺｲﾙ7電流モニター(A),ｺｲﾙ8電流モニター(A),Pf(W),Pｒ(W),6極冷却水流量(l/min),6極冷却水温度(℃),2nd冷却水流量(l/min),2nd冷却水温度(℃),真空度1,真空度2,真空度3,gas_old設定,gas_oldモニター
,,,600W 35deg  nv full supportO2 0.03 sccm  Bias 940V,2020/09/29 19:27:55,0.000000,2E-05,0.000000,0.000000,0.493000,0.000000,0.759000,0.040000,0.000000,-0.350000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,214.924275,225.957775,0.022950,22.250250,0.029400,22.666050,3.800500,3.880000,0.000000,-0.098240,0.000440
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-2.210071E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-2.495856E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-2.095757E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-3.372264E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-3.277002E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-3.886677E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-3.277002E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.064000,-2.895955E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.679000,-3.124583E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.948000,-5.067922E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.169000,-2.057652E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.471000,-4.32488E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.658000,-4.115305E-09,0.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.905000,-4.953608E-09,5.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.956000,-4.267723E-09,11.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.048000,-4.172462E-09,24.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.064000,-4.629718E-09,24.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.074000,-4.248671E-09,30.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.084000,-5.22034E-09,36.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.084000,-4.744032E-09,42.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.082000,-5.963381E-09,47.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.097000,-3.715206E-09,47.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.100000,-5.810963E-09,47.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.110000,-4.667823E-09,47.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.110000,-4.210566E-09,48.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.123000,-1.524187E-09,48.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.130000,-4.553508E-09,48.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.138000,-3.200793E-09,48.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.138000,-3.962886E-09,48.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.141000,-4.858346E-09,48.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.148000,-6.877894E-09,49.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.153000,-6.039591E-09,49.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.164000,-4.801189E-09,49.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.164000,-5.410864E-09,49.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.174000,-7.373254E-09,49.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
